userId,movieId,tag,timestamp
3,260,classic,1439472355
3,260,sci-fi,1439472256
4,1732,dark comedy,1573943598
4,1732,great dialogue,1573943604
4,7569,so bad it's good,1573943455
4,44665,unreliable narrators,1573943619
4,115569,tense,1573943077
4,115713,artificial intelligence,1573942979
4,115713,philosophical,1573943033
4,115713,tense,1573943042
4,148426,so bad it's good,1573942965
4,164909,cliche,1573943721
4,164909,musical,1573943714
4,168250,horror,1573945163
4,168250,unpredictable,1573945171
19,2160,Oscar (Best Supporting Actress),1446909853
19,7099,adventure,1445286141
19,7099,anime,1445286127
19,7099,ecology,1445286153
19,7099,fantasy,1445286144
19,7099,Hayao Miyazaki,1445286120
19,7099,Miyazaki,1445286148
19,7099,post-apocalyptic,1445286136
20,1210,bah,1155082282
43,434,Clint Eastwood,1170492549
68,3481,music,1472113217
84,194728,art,1549387440
84,194728,contemporary art,1549387437
84,194728,documentary,1549387432
87,1127,aliens,1542308477
87,1127,amazing photography,1542308501
87,1127,Director: James Cameron,1542308487
87,1127,first contact,1542308468
87,1127,James Cameron,1542308492
87,1127,Michael Biehn,1542308483
87,1127,sci-fi,1542308464
87,6537,android(s)/cyborg(s),1542309549
87,6537,apocalypse,1542309703
87,6537,Arnold Schwarzenegger,1542309595
87,6537,artificial intelligence,1542309599
87,6537,franchise,1542309536
87,6537,terminator,1542309735
87,6537,time travel,1542309532
87,72998,James Cameron,1542308389
87,72998,sci-fi,1542308408
87,72998,science fiction,1542308395
87,79132,sci-fi,1522675497
87,102445,inferior sequel,1522677007
87,102445,setting:London (UK) (future),1522677058
87,102445,unoriginal,1522677043
87,104841,bad science,1522676752
87,109487,good science,1522676693
87,109487,Hans Zimmer,1522676679
87,109487,philosophical issues,1522676687
87,109487,sci-fi,1522676660
87,109487,science fiction,1522676703
87,109487,space,1522676664
87,109487,space travel,1522676685
87,109487,time-travel,1522676667
87,109487,visually appealing,1522676682
91,215,bittersweet,1415131183
91,215,boring,1415914643
91,215,conversation,1415131159
91,215,dialogue driven,1415131169
91,215,loneliness,1415131180
91,215,love story,1415131196
91,215,philosophical,1415131228
91,215,philosophy,1415131215
91,215,quirky,1415914797
91,215,reflective,1415131174
91,215,romantic,1415131173
91,215,thought-provoking,1415131203
91,215,Vienna,1415914755
91,215,wistful,1415914789
91,590,American Civil War,1414248567
91,590,based on book,1414248543
91,590,bittersweet,1414248546
91,590,culture clash,1414248582
91,590,drama,1414248538
91,590,indians,1414248604
91,590,love story,1414248535
91,590,war,1414248586
91,590,western,1414248596
91,1619,Buddhism,1389309614
91,1619,China,1389309619
91,1619,great cinematography,1389309592
91,1619,JOURNEY OF SELF-DISCOVERY,1389309596
91,1619,mountains,1389309610
91,1619,traveling,1389309607
91,1719,atmospheric,1414932665
91,1719,based on a book,1414932650
91,1719,Canada,1414932654
91,1719,death,1414932717
91,1719,Incest,1414932657
91,1719,meditative,1414932635
91,1719,melancholic,1414932660
91,1719,Nudity (Full Frontal),1414932679
91,1719,small town,1414932683
91,1719,wintry,1414932700
91,1962,aging,1414703813
91,1962,based on a play,1414703896
91,1962,boring,1414703922
91,1962,Drama,1414703854
91,1962,friendship,1414703861
91,1962,Morgan Freeman,1414703875
91,1962,no action,1414703922
91,1962,old age,1414703857
91,1962,racism,1414703880
91,1962,Southern theme,1414703882
91,1962,USA,1414703885
91,2324,bittersweet,1404508243
91,2324,emotional,1404508252
91,2324,heartwarming,1405162775
91,2324,Holocaust,1389309722
91,2324,Italy,1389309737
91,2324,love,1389309735
91,2324,Oscar (Best Foreign Language Film),1404508261
91,2324,Oscar Winner,1404508239
91,2324,sentimental,1389309725
91,2324,survival,1404508257
91,2628,adventure,1406474907
91,2628,fantasy,1406474916
91,2628,music,1406474905
91,2628,Natalie Portman,1406474902
91,2628,robots,1406474862
91,2628,sci-fi,1406474865
91,2628,space,1406474897
91,2628,Star Wars,1406474879
91,3148,abortion,1414335320
91,3148,based on a book,1414335090
91,3148,charlize theron,1414335302
91,3148,Drama,1414335121
91,3148,Incest,1414335124
91,3148,medicine,1414335340
91,3148,orphans,1414335312
91,3148,Tobey Maguire,1414335104
91,3481,based on a book,1399117141
91,3481,break-up,1399117159
91,3481,Catherine Zeta-Jones,1399117136
91,3481,funny,1399117119
91,3481,relationships,1399117124
91,4022,island,1400957839
91,4022,SURVIVAL,1400957850
91,4235,boring,1406059373
91,4235,dogs,1405874817
91,4235,drama,1405874824
91,4235,multiple storylines,1405874854
91,5378,action,1406474940
91,5378,adventure,1406474943
91,5378,aliens,1406474945
91,5378,fantasy,1406474948
91,5378,George Lucas,1406474936
91,5378,robots,1406474952
91,5378,romance,1406474950
91,5378,sci-fi,1406474955
91,5378,space,1406474957
91,5378,Star Wars,1406474960
91,6870,based on a book,1393795254
91,6870,Drama,1393795227
91,6870,family,1393795249
91,6870,mystery,1393795231
91,6870,powerful ending,1393795234
91,6870,twist ending,1393795240
91,8207,adapted from:book,1417274532
91,8207,assassin,1417274496
91,8207,assassination,1417274509
91,8207,History,1417274543
91,8207,interesting,1417274521
91,8207,Southern Europe,1417274511
91,8207,tense,1417274493
91,8207,thriller,1417274507
91,8638,bittersweet,1415914716
91,8638,boring,1415914739
91,8638,dialogue,1415914698
91,8638,emotional,1415914675
91,8638,Paris,1415914704
91,8638,philosophical,1415914722
91,8638,quirky,1415914679
91,8638,romance,1415914710
91,8638,romantic,1415914672
91,8958,adultery,1413670959
91,8958,biographical,1413670831
91,8958,Biography,1413670823
91,8958,blindness,1413670932
91,8958,disability,1413670935
91,8958,drug addiction,1413670928
91,8958,drugs,1413670864
91,8958,genius,1413670834
91,8958,great acting,1413670838
91,8958,history,1413670881
91,8958,music,1413670841
91,8958,music business,1413670951
91,8958,musical,1413670957
91,8958,rhythm & blues,1413670942
91,8973,boring,1413403374
91,8973,Catholicism,1413403254
91,8973,child abuse,1413403400
91,8973,drugs,1413403405
91,8973,enigmatic,1413403268
